codigo_super_cias,etiqueta
10102030219,PÓLIZAS DE ACUMULACIÓN
10102030220,TÍTULOS DEL BANCO CENTRAL
10102030221,VALORES DE TITULARIZACIÓN
10102030222,INVERSIONES EN EL EXTERIOR
10102030223,OTROS
1010204,PROVISIÓN POR DETERIORO DE ACTIVOS FINANCIEROS
101020401,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS
101020402,ACTIVOS FINANCIEROS AL COSTO AMORTIZADO
101020403,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL
1010205,DEUDORES COMERCIALES Y OTRAS CUENTAS POR COBRAR NO RELACIONADOS
101020501,DE ACTIVIDADES ORDINARIAS QUE GENEREN INTERESES
10102050101,CUENTAS Y DOCUMENTOS A COBRAR  A CLIENTES
10102050102,CUENTAS Y DOCUMENTOS A COBRAR  A TERCEROS
101020502,DE ACTIVIDADES ORDINARIAS QUE NO GENEREN INTERESES
10102050201,CUENTAS Y DOCUMENTOS A COBRAR  A CLIENTES
10102050202,CUENTAS Y DOCUMENTOS A COBRAR  A TERCEROS
10102050203,CUENTAS POR COBRAR AL ORIGINADOR
10102050204,COMISIONES POR OPERACIONES  BURSÁTILES
10102050207,CONTRATO DE UNDERWRITING
10102050208,POR  ADMINISTRACIÓN Y MANEJO DE PORTAFOLIOS DE TERCEROS
10102050209,POR ADMINISTRACIÓN Y MANEJO DE FONDOS ADMINISTRADOS
10102050210,POR ADMINISTRACIÓN Y MANEJO DE NEGOCIOS FIDUCIARIOS
10102050211,POR CUSTODIA Y CONSERVACIÓN DE VALORES MATERIALIZADOS
10102050212,POR CUSTODIA Y CONSERVACIÓN DE VALORES DESMATERIALIZADOS
10102050213,POR MANEJO DE LIBRO DE ACCIONES Y ACCIONISTAS
10102050214,POR ASESORÍA
10102050215,DIVIDENDOS POR COBRAR
10102050216,INTERESES POR COBRAR
10102050217,DEUDORES POR INTERMEDIACIÓN DE VALORES
10102050218,ANTICIPO A COMITENTES
10102050219,ANTICIPO A CONSTRUCTOR POR AVANCE DE OBRA
10102050220,DERECHOS POR COMPROMISO DE RECOMPRA
10102050221,OTRAS CUENTAS POR COBRAR NO RELACIONADAS
1010206,DOCUMENTOS Y CUENTAS POR COBRAR RELACIONADOS
101020601,POR COBRAR A ACCIONISTAS
101020602,POR COBRAR A COMPAÑÍAS RELACIONADAS
101020603,POR COBRAR A CLIENTES
101020604,OTRAS CUENTAS POR COBRAR RELACIONADAS
1010207,PROVISIÓN POR CUENTAS INCOBRABLES Y DETERIORO
10103,INVENTARIOS
1010301,INVENTARIOS DE MATERIA PRIMA
1010302,INVENTARIOS DE PRODUCTOS EN PROCESO
1010303,INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN EL PROCESO DE PRODUCCION
1010304,INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN LA PRESTACION DEL SERVICIO
1010305,INVENTARIOS DE PROD. TERM. Y MERCAD. EN ALMACÉN - PRODUCIDO POR LA COMPAÑÍA
1010306,INVENTARIOS DE PROD. TERM. Y MERCAD. EN ALMACÉN - COMPRADO A  TERCEROS
1010307,MERCADERÍAS EN TRÁNSITO
1010308,OBRAS EN CONSTRUCCION
1010309,OBRAS TERMINADAS
1010310,MATERIALES O BIENES PARA LA CONSTRUCCION
1010311,"INVENTARIOS REPUESTOS, HERRAMIENTAS Y ACCESORIOS"
1010312,OTROS INVENTARIOS
1010313,(-) PROVISIÓN POR VALOR NETO DE REALIZACIÓN Y OTRAS PERDIDAS EN INVENTARIO
10104,SERVICIOS Y OTROS PAGOS ANTICIPADOS
1010401,SEGUROS PAGADOS POR ANTICIPADO
1010402,ARRIENDOS PAGADOS POR ANTICIPADO
1010403,ANTICIPOS A PROVEEDORES
1010404,OTROS ANTICIPOS ENTREGADOS
10105,ACTIVOS POR IMPUESTOS CORRIENTES
1010501,CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA (IVA)
1010502,CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA ( I. R.)
1010503,ANTICIPO DE IMPUESTO A LA RENTA
10106,ACTIVOS CORRIENTES MANTENIDOS PARA LA VENTA Y OPERACIONES DISCONTINUADAS
10107,CONSTRUCCIONES EN PROCESO (NIC 11 Y SECC.23 PYMES)
10108,OTROS ACTIVOS CORRIENTES
102,ACTIVOS NO CORRIENTES
10201,"PROPIEDAD, PLANTA Y EQUIPO"
1020101,TERRENOS
1020102,EDIFICIOS
1020103,CONSTRUCCIONES EN CURSO
1020104,INSTALACIONES
1020105,MUEBLES Y ENSERES
1020106,MAQUINARIA Y EQUIPO
1020107,"NAVES, AEREONAVES, BARCAZAS Y SIMILARES"
1020108,EQUIPO DE COMPUTACIÓN
1020109,"VEHÍCULOS, EQUIPOS DE TRASPORTE Y EQUIPO CAMINERO MÓVIL"
1020110,"OTROS PROPIEDADES, PLANTA Y EQUIPO"
1020111,REPUESTOS Y HERRAMIENTAS
1020112,"(-) DEPRECIACIÓN ACUMULADA PROPIEDADES, PLANTA Y EQUIPO"
1020113,"(-) DETERIORO  ACUMULADO DE PROPIEDADES, PLANTA Y EQUIPO"
1020114,ACTIVOS DE EXPLORACION Y EXPLOTACION
102011401,ACTIVOS DE EXPLORACION Y EXPLOTACION
102011402,(-) AMORTIZACION ACUMULADA DE ACTIVOS DE EXPLORACIÓN Y EXPLOTACIÓN
102011403,(-) DETERIORO  ACUMULADO DE ACTIVOS DE EXPLORACIÓN Y EXPLOTACIÓN
10202,PROPIEDADES DE INVERSIÓN
1020201,TERRENOS
102020101,TERRENOS
102020102,DERECHOS DE USO SOBRE TERRENOS SUBARRENDADOS
1020202,EDIFICIOS
102020201,EDIFICIOS
102020202,DERECHOS DE USO SOBRE EDIFICIOS SUBARRENDADOS
1020203,(-) DEPRECIACION ACUMULADA DE PROPIEDADES DE INVERSIÓN
1020204,(-) DETERIORO ACUMULADO DE PROPIEDADES DE INVERSIÓN
10203,ACTIVOS BIOLOGICOS
1020301,ANIMALES VIVOS EN CRECIMIENTO
1020302,ANIMALES VIVOS EN PRODUCCION
1020303,PLANTAS EN CRECIMIENTO
1020304,PLANTAS EN PRODUCCION
1020305,(-) DEPRECIACION ACUMULADA DE ACTIVOS BIOLÓGICOS
1020306,(-) DETERIORO ACUMULADO DE ACTIVOS BIOLOGÍCOS
10204,ACTIVO INTANGIBLE
1020401,PLUSVALÍAS
1020402,"MARCAS, PATENTES, DERECHOS DE LLAVE , CUOTAS PATRIMONIALES Y OTROS SIMILARES"
1020403,CONCESIONES Y LICENCIAS
1020404,ACTIVOS DE EXPLORACION Y EXPLOTACION
1020405,(-) AMORTIZACIÓN ACUMULADA DE ACTIVOS INTANGIBLE
1020406,(-) DETERIORO ACUMULADO DE ACTIVO INTANGIBLE
1020407,OTROS INTANGIBLES
10205,ACTIVOS POR IMPUESTOS DIFERIDOS
10206,ACTIVOS FINANCIEROS NO CORRIENTES
1020601,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL
1020602,"(-) PROVISION POR DETERIORO DE ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO
RESULTADO INTEGRAL"
1020603,ACTIVOS FINANCIEROS A COSTO AMORTIZADO
1020604,(-) PROVISIÓN POR DETERIORO DE ACTIVOS FINANCIEROS A COSTO AMORTIZADO
1020605,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS
1020606,(-)PROVISIÓN POR DETERIORO DE ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS
10207,DERECHO DE USO POR ACTIVOS ARRENDADOS
1020701,(-) DEPRECIACIÓN ACUMULADA DE ACTIVOS PROVENIENTES POR DERECHOS DE USO
1020702,(-) DETERIORO ACUMULADO DE ACTIVOS PROVENIENTES POR DERECHOS DE USO
1020703,DERECHO DE USO POR ACTIVOS ARRENDADOS
10208,OTROS ACTIVOS NO CORRIENTES
1020801,DERECHOS FIDUCIARIOS
1020802,DEPÓSITOS EN GARANTÍA
1020803,DEPÓSITOS EN GARANTÍA POR OPERACIONES BURSÁTILES
1020805,ACCIONES DEL DEPÓSITO CENTRALIZADO DE VALORES
1020806,INVERSIONES SUBSIDIARIAS
1020807,INVERSIONES ASOCIADAS
1020808,INVERSIONES NEGOCIOS CONJUNTOS
1020809,OTRAS INVERSIONES
1020810,(-) PROVISIÓN VALUACIÓN DE INVERSIONES
1020811,OTROS ACTIVOS NO CORRIENTES
10209,DOCUMENTOS Y CUENTAS POR COBRAR NO RELACIONADOS
1020901,CUENTAS Y DOCUMENTOS A COBRAR  A CLIENTES
1020902,CUENTAS Y DOCUMENTOS A COBRAR  A TERCEROS
1020903,OTRAS CUENTAS POR COBRAR NO RELACIONADAS
10210,DOCUMENTOS Y CUENTAS POR COBRAR RELACIONADOS
1021001,POR COBRAR A ACCIONISTAS
1021002,POR COBRAR A COMPAÑÍAS RELACIONADAS
1021003,POR COBRAR A CLIENTES
1021004,OTRAS CUENTAS POR COBRAR RELACIONADAS
2,PASIVO
201,PASIVO CORRIENTE
20101,PASIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS
20102,PASIVOS POR CONTRATOS DE ARRENDAMIENTO
20103,CUENTAS Y DOCUMENTOS POR PAGAR
2010301,LOCALES
201030101,PRÉSTAMOS
201030102,PROVEEDORES
201030103,OTRAS
2010302,DEL EXTERIOR
201030201,PRÉSTAMOS
201030202,PROVEEDORES
201030203,OTRAS
20104,OBLIGACIONES CON INSTITUCIONES FINANCIERAS
2010401,LOCALES
2010402,DEL EXTERIOR
20105,PROVISIONES
2010501,LOCALES
2010502,DEL EXTERIOR
20106,PORCIÓN CORRIENTE DE VALORES EMITIDOS
2010601,OBLIGACIONES
2010602,PAPEL COMERCIAL
2010603,VALORES DE TITULARIZACIÓN
2010604,OTROS
2010605,INTERESES POR PAGAR
20107,OTRAS OBLIGACIONES CORRIENTES
2010701,CON LA ADMINISTRACIÓN TRIBUTARIA
2010702,IMPUESTO A LA RENTA POR PAGAR DEL EJERCICIO
2010703,CON EL IESS
2010704,POR BENEFICIOS DE LEY A EMPLEADOS
2010705,PARTICIPACIÓN TRABAJADORES POR PAGAR DEL EJERCICIO
2010706,DIVIDENDOS POR PAGAR
2010707,OTROS
20108,CUENTAS POR PAGAR A RELACIONADAS
2010801,LOCALES
201080101,PRÉSTAMOS DE ACCIONISTAS
201080102,PRÉSTAMOS DE COMPAÑÍAS RELACIONADAS
201080103,PROVEEDORES
201080104,OTROS
2010802,DEL EXTERIOR
201080201,PRÉSTAMOS DE ACCIONISTAS
201080202,PRÉSTAMOS DE COMPAÑÍAS RELACIONADAS
201080203,PROVEEDORES
201080204,OTROS
20109,OTROS PASIVOS FINANCIEROS
20110,ANTICIPOS
2011001,ANTICIPOS DE CLIENTES
2011002,OTROS ANTICIPOS RECIBIDOS
20111,PASIVOS DIRECTAMENTE ASOCIADOS CON LOS ACTIVOS NO CORRIENTES Y OPERACIONES DISCONTINUADAS
20112,PORCION CORRIENTE DE PROVISIONES POR BENEFICIOS A EMPLEADOS
2011201,JUBILACION PATRONAL
2011202,OTROS BENEFICIOS PARA LOS EMPLEADOS
20113,OTROS PASIVOS CORRIENTES
2011301,COMISIONES POR PAGAR
2011302,POR OPERACIONES BURSÁTILES
2011303,POR CUSTODIA
2011304,POR ADMINISTRACIÓN
2011305,OTRAS COMISIONES
2011306,SANCIONES Y MULTAS
2011307,INDEMNIZACIONES
2011308,OBLIGACIONES JUDICIALES
2011309,ACREEDORES POR INTERMEDIACIÓN
2011310,OBLIGACIÓN POR COMPROMISO DE RECOMPRA
2011311,POR CONTRATOS DE UNDERWRITING
2011312,OTROS
20114,PASIVOS FINANCIEROS AL COSTO AMORTIZADO
202,PASIVO NO CORRIENTE
20201,PASIVOS POR CONTRATOS DE ARRENDAMIENTO
20202,CUENTAS Y DOCUMENTOS POR PAGAR
2020201,LOCALES
202020101,PRÉSTAMOS
202020102,PROVEEDORES
202020103,OTRAS
2020202,DEL EXTERIOR
202020201,PRÉSTAMOS
202020202,PROVEEDORES
202020203,OTRAS
20203,OBLIGACIONES CON INSTITUCIONES FINANCIERAS
2020301,LOCALES
2020302,DEL EXTERIOR
20204,CUENTAS POR PAGAR A RELACIONADAS
2020401,LOCALES
202040101,PRÉSTAMOS DE ACCIONISTAS
202040102,PRÉSTAMOS DE COMPAÑÍAS RELACIONADAS
202040103,PROVEEDORES
202040104,OTROS
2020402,DEL EXTERIOR
202040201,PRÉSTAMOS DE ACCIONISTAS
202040202,PRÉSTAMOS DE COMPAÑÍAS RELACIONADAS
202040203,PROVEEDORES
202040204,OTROS
20205,PORCIÓN NO CORRIENTE DE VALORES EMITIDOS
2020501,OBLIGACIONES
2020502,PAPEL COMERCIAL
2020503,VALORES DE TITULARIZACIÓN
2020504,OTROS
2020505,INTERESES POR PAGAR
20206,ANTICIPOS
2020601,ANTICIPOS DE CLIENTES
2020602,OTROS ANTICIPOS RECIBIDOS
20207,PROVISIONES POR BENEFICIOS A EMPLEADOS
2020701,JUBILACION PATRONAL
2020702,OTROS BENEFICIOS NO CORRIENTES PARA LOS EMPLEADOS
20208,OTRAS PROVISIONES
20209,PASIVO DIFERIDO
2020901,INGRESOS DIFERIDOS
2020902,PASIVOS POR IMPUESTOS DIFERIDOS
20210,OTROS PASIVOS NO CORRIENTES
3,PATRIMONIO NETO
30,PATRIMONIO NETO ATRIBUIBLE A LOS PROPIETARIOS DE LA CONTROLADORA
301,CAPITAL
30101,CAPITAL SUSCRITO O  ASIGNADO
30102,"(-) CAPITAL SUSCRITO NO PAGADO, ACCIONES EN TESORERÍA"
30103,FONDO PATRIMONIAL
30104,PATRIMONIO DE LOS NEGOCIOS FIDUCIARIOS
30105,PATRIMONIO DE LOS FONDOS DE INVERSIÓN
3010501,PATRIMONIO DEL FONDO ADMINISTRADO
3010502,PATRIMONIO DEL FONDO COLECTIVO
302,APORTES DE SOCIOS O ACCIONISTAS PARA FUTURA CAPITALIZACIÓN
303,PRIMA POR EMISIÓN PRIMARIA DE ACCIONES
304,RESERVAS
30401,RESERVA LEGAL
30402,RESERVAS FACULTATIVA Y ESTATUTARIA
305,OTROS RESULTADOS INTEGRALES
30501,SUPERAVIT DE ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL
30502,"SUPERAVIT POR REVALUACIÓN DE PROPIEDADES, PLANTA Y EQUIPO"
30503,SUPERAVIT POR REVALUACION DE ACTIVOS INTANGIBLES
30504,OTROS SUPERAVIT POR REVALUACION
306,RESULTADOS ACUMULADOS
30601,GANANCIAS ACUMULADAS
30602,(-) PÉRDIDAS ACUMULADAS
30603,RESULTADOS ACUMULADOS PROVENIENTES DE LA ADOPCION POR PRIMERA VEZ DE LAS NIIF
30604,RESERVA DE CAPITAL
30605,RESERVA POR DONACIONES
30606,RESERVA POR VALUACIÓN
30607,SUPERÁVIT POR REVALUACIÓN DE INVERSIONES
307,RESULTADOS DEL EJERCICIO
30701,GANANCIA NETA DEL PERIODO
30702,(-) PÉRDIDA NETA DEL PERIODO
31,PARTICIPACIÓN CONTROLADORA
30505,GANANCIAS (PÉRDIDAS) ACTUARIALES POR PLANES DE BENEFICIOS DEFINIDOS
